experiment,epoch,timestamp,source,grad_norm,train_loss,lr
0028_20260917_dino_lr_half,144,20260918-122058,log_195710.txt,1.081,1.5752,0.000822
0028_20260917_dino_lr_half,145,20260918-122744,log_195710.txt,1.0766,1.5745,0.00082
0028_20260917_dino_lr_half,146,20260918-123449,log_195710.txt,1.1089,1.5778,0.000817
0028_20260917_dino_lr_half,147,20260918-124136,log_195710.txt,1.0895,1.5732,0.000815
0028_20260917_dino_lr_half,148,20260918-124822,log_195710.txt,1.0974,1.5796,0.000812
0028_20260917_dino_lr_half,149,20260918-125509,log_195710.txt,1.0765,1.5745,0.00081
0028_20260917_dino_lr_half,150,20260918-130155,log_195710.txt,1.0799,1.574,0.000807
0028_20260917_dino_lr_half,151,20260918-130859,log_195710.txt,1.1375,1.5827,0.000805
0028_20260917_dino_lr_half,152,20260918-131545,log_195710.txt,1.1136,1.5798,0.000802
0028_20260917_dino_lr_half,153,20260918-132231,log_195710.txt,1.1149,1.5767,0.000799
0028_20260917_dino_lr_half,154,20260918-132918,log_195710.txt,1.153,1.579,0.000797
0028_20260917_dino_lr_half,155,20260918-133604,log_195710.txt,1.1469,1.5798,0.000794
0028_20260917_dino_lr_half,156,20260918-134309,log_195710.txt,1.2025,1.5834,0.000791
0028_20260917_dino_lr_half,157,20260918-134956,log_195710.txt,1.2006,1.5837,0.000789
0028_20260917_dino_lr_half,158,20260918-135643,log_195710.txt,1.1555,1.5803,0.000786
0028_20260917_dino_lr_half,159,20260918-140330,log_195710.txt,1.1479,1.5792,0.000783
0028_20260917_dino_lr_half,160,20260918-141016,log_195710.txt,1.1549,1.5827,0.000781
0028_20260917_dino_lr_half,161,20260918-141721,log_195710.txt,1.1723,1.584,0.000778
0028_20260917_dino_lr_half,162,20260918-142408,log_195710.txt,1.1722,1.5836,0.000775
0028_20260917_dino_lr_half,163,20260918-143054,log_195710.txt,1.19,1.5821,0.000773
0028_20260917_dino_lr_half,164,20260918-143740,log_195710.txt,1.1868,1.5838,0.00077
0028_20260917_dino_lr_half,165,20260918-144426,log_195710.txt,1.2137,1.5837,0.000767
0028_20260917_dino_lr_half,166,20260918-145131,log_195710.txt,1.2117,1.5841,0.000764
0028_20260917_dino_lr_half,167,20260918-145817,log_195710.txt,1.1986,1.581,0.000761
0028_20260917_dino_lr_half,168,20260918-150504,log_195710.txt,1.2355,1.5838,0.000759
0028_20260917_dino_lr_half,169,20260918-151151,log_195710.txt,1.254,1.5845,0.000756
0028_20260917_dino_lr_half,170,20260918-151837,log_195710.txt,1.2726,1.5888,0.000753
0028_20260917_dino_lr_half,171,20260918-152542,log_195710.txt,1.2736,1.5871,0.00075
0028_20260917_dino_lr_half,172,20260918-153228,log_195710.txt,1.2536,1.5855,0.000747
0028_20260917_dino_lr_half,173,20260918-153915,log_195710.txt,1.238,1.5852,0.000745
0028_20260917_dino_lr_half,174,20260918-154602,log_195710.txt,1.2689,1.5866,0.000742
0028_20260917_dino_lr_half,175,20260918-155249,log_195710.txt,1.2981,1.586,0.000739
0028_20260917_dino_lr_half,176,20260918-155954,log_195710.txt,1.3037,1.5868,0.000736
